id,name,IS_Sharpe,OOS_Sharpe,decay,IS_CAGR,OOS_CAGR,IS_MDD,OOS_MDD,Full_Sharpe,Full_CAGR,turnover,flag,quarantined,stub
s07,Donchian,3.857740888504074,5.01620649623604,1.1584656077319662,0.13158618431949431,0.20859927416903834,-0.02046931430290509,-0.017173009544768424,4.227540673126867,0.15416472833327433,11.970337742224835,ROBUST,True,False
s31,Vol Targeting,0.29687116860563273,0.8330390827150369,0.5361679141094042,0.026635405531935996,0.09049145048097729,-0.37063361556569935,-0.1538902725751139,0.46091827252411355,0.045393157444254095,7.37039723996951,WEAK,False,False
s46,Risk Parity,0.4470212940919689,0.8055803620280702,0.35855906793610126,0.04921292438478608,0.08433164995426834,-0.44684108194910704,-0.20702722538186283,0.5426393642596647,0.0596295460897871,0.5380402922959315,ROBUST,False,False
s08,Sector Rotation,0.39513979361951845,0.7571679649836421,0.3620281713641237,0.054018582843950114,0.13347111119823762,-0.45752808931402184,-0.28680076177579417,0.5115699769598748,0.07725584677676411,4.707451701931923,ROBUST,False,False
s30,Low Volatility,0.7238500542949998,0.6914465057036899,-0.032403548591309894,0.09864673644669097,0.10559298709205378,-0.4344135710741587,-0.313485980531902,0.7118743350746244,0.10072644218116267,0.8290794727605387,ROBUST,False,False
s02,TS Momentum,0.7867700993402634,0.6859645295457492,-0.10080556979451427,0.13552197748759554,0.1351811381420125,-0.45568938126836833,-0.34837339050192656,0.7495099571999007,0.13541969403466214,6.567869548258314,ROBUST,False,False
s26,Dividend Yield,0.4709679351957578,0.6803984949708709,0.2094305597751131,0.08018364609971718,0.1404859115248447,-0.6759593620719527,-0.4813820881724839,0.5378016707130361,0.09793528589525202,2.4674031909098866,ROBUST,True,False
s45,Short Squeeze,0.4740997817214164,0.5717546300819083,0.09765484836049187,0.09830369495685565,0.1302005038657148,-0.7266770578037839,-0.48222509858659635,0.5037539092926538,0.10777898658887164,8.131462741490342,ROBUST,True,False
s49,Dollar Regime,0.5633964660895322,0.5522337541711043,-0.011162711918427881,0.1036917542325182,0.09244947097532163,-0.6277716199928907,-0.33717383874707313,0.5596676447865386,0.10030628441751221,0.8114075436982521,ROBUST,False,False
s35,Sell in May,0.3855531523981878,0.5290973878178507,0.14354423541966282,0.0428473672797991,0.06989052996883016,-0.37042958466644293,-0.33717383874707324,0.4317797175331743,0.05088939475245002,1.9319227230910765,ROBUST,False,False
