id,name,IS_Sharpe,OOS_Sharpe,decay,IS_CAGR,OOS_CAGR,Full_CAGR,Full_Sharpe,IS_MDD,OOS_MDD,IS_Vol,OOS_Vol,turnover,cost_drag_ann,flag
s75,Donchian Equity,1.5711599360837039,2.168809844036542,0.5976499079528381,0.22790302863552014,0.33352231643073704,0.2586852231597181,1.750769480553663,-0.21564236665154543,-0.1441682398284768,0.13667097969023007,0.13711963829317042,3.063323906025021,0.006126647812050042,ROBUST
s79,Adaptive Trend,1.5347816047194258,1.900195845424359,0.3654142407049332,0.1588623220970311,0.24557142265325638,0.18422657466825476,1.6525672793283155,-0.08661016094643402,-0.10101886894559443,0.09930416781709568,0.11936930986779701,4.03771849126035,0.008075436982520699,ROBUST
s78,Vol Trend ETF,1.4173233648982801,1.4822135437097854,0.06489017881150527,0.24085002494335872,0.29302720222318324,0.25628131717106006,1.43584106587241,-0.14834799650644567,-0.14755784516790807,0.16152969268543113,0.18506583368079174,7.727222034755202,0.015454444069510404,ROBUST
s71,52-Wk Breakout,1.09281329873988,1.2382589267237771,0.14544562798389715,0.1469014183805819,0.18929060691636956,0.15945961457634583,1.1384343896013274,-0.24179500303335388,-0.22471704561705858,0.13363136013775623,0.14901676360872987,0.5913206679190174,0.0011826413358380348,ROBUST
s93,Defensive Rotation,0.6424879306455471,1.047240737440771,0.40475280679522396,0.0925900666943551,0.1934704622484975,0.12193043191558695,0.7760780553643696,-0.4071713399607971,-0.3412595579276436,0.15703576745228062,0.18539235696213144,6.471941122355106,0.012943882244710212,ROBUST
s90,Credit Regime,1.203778894321006,0.9382869138827437,-0.2654919804382623,0.10328411970389495,0.10925049940426246,0.10507102164018112,1.0905089931116447,-0.24231272790221095,-0.21206397461263496,0.08464375338677028,0.11794624405573487,7.59245630174793,0.015184912603495861,ROBUST
s91,Inflation Tilt,0.599450503793319,0.8930532763114222,0.2936027725181032,0.08519211317818187,0.16563913941162567,0.10872995555999476,0.6973295302244282,-0.5187249986305568,-0.2979075691472977,0.15691750925449766,0.19238624259891496,12.576816927322907,0.025153633854645814,ROBUST
s69,Sharpe Rank,0.5554285736065372,0.7909242206160412,0.23549564700950398,0.0970697201343298,0.16131820831210986,0.11596569989574457,0.6292945258485428,-0.6524042674705317,-0.3380241686113973,0.20501284188085306,0.219857193082951,3.5365998128644436,0.007073199625728887,ROBUST
s76,MA200 Band,0.5422391940044203,0.7750971836400844,0.23285798963566406,0.08510699518011688,0.13938777340892194,0.10111723609204826,0.6149258407172784,-0.5526014395093771,-0.35320234540661916,0.18104803027099278,0.19249058443419131,2.523014393894013,0.005046028787788025,ROBUST
s68,Mom Ensemble,0.4756633953606008,0.7638056077323572,0.28814221237175636,0.08514250691264791,0.17142960127124685,0.11034422820654854,0.5673307539294461,-0.652541253124377,-0.36713733775948165,0.22566874484768526,0.24762829002824605,3.804591418178808,0.007609182836357616,ROBUST
s66,Vol-Confirmed Mom,0.4554715151625568,0.751768479840466,0.2962969646779092,0.08579426915453392,0.18854298838117622,0.1156556217645055,0.5515450377998248,-0.7020156736799615,-0.3591600474127679,0.24960161109447657,0.28360284537887664,4.607827708540948,0.009215655417081896,ROBUST
s77,Dual Momentum,0.41478262300542684,0.7263037191885592,0.31152109618313234,0.07202237974889458,0.16515757749075455,0.09915847911114839,0.5136806704393464,-0.6799474953270791,-0.35922383293565985,0.23437658104197098,0.25586782460491436,3.3402080608544416,0.006680416121708883,ROBUST
s73,Residual Mom,0.4803389383700051,0.7202257858859936,0.23988684751598854,0.08778645185730038,0.1582590620634059,0.10846997994023622,0.5552368827074633,-0.7106426960467198,-0.3385150650049911,0.23179397755037534,0.24638734656435166,2.972861402895874,0.005945722805791747,ROBUST
s70,MaxDD Quality,0.6748001884564313,0.6853219474606884,0.010521759004257114,0.09509549604335943,0.1084096669643193,0.09907368132345162,0.6771454479330233,-0.4765745570044169,-0.321143463918718,0.1517720949342555,0.17182498944388566,1.6714772532644202,0.00334295450652884,ROBUST
s89,DV Momentum,0.4865695440727072,0.6696029927407623,0.1830334486680551,0.08089275352191505,0.1267977580189228,0.09446713203569157,0.5433294111956002,-0.5712339799276408,-0.4163623506548912,0.20182380419361512,0.21223522469427997,3.433118982619759,0.0068662379652395175,ROBUST
s74,Accel Breadth,0.5165302161826744,0.6637808849077077,0.14725066872503334,0.09184339869692004,0.12982614351847954,0.10310446806158535,0.5615560503574308,-0.5710510967802909,-0.42582535049121534,0.21487798078481732,0.22082071991524957,3.5377377406553907,0.007075475481310781,ROBUST
s67,Amihud Illiquidity,0.5243775523092222,0.4593646888777197,-0.06501286343150253,0.10949128929934004,0.09154331640803881,0.10407502483485498,0.5046642565211363,-0.7298094056184059,-0.46079901567113496,0.26679417870663624,0.2712926723295071,2.274940024992867,0.0045498800499857335,ROBUST
s92,Country ETF Mom,0.45008313288300217,0.41427402733670665,-0.03580910554629552,0.08208205150212278,0.06307624556674529,0.07634373579945053,0.4389860827408608,-0.6927816481911692,-0.37598560648800367,0.23882299709711455,0.19295273777255567,2.4883164673413067,0.004976632934682613,ROBUST
s96,Deep Value,0.4282588603186664,0.40450231689978317,-0.023756543418883225,0.08407480045960214,0.07599104975290571,0.08164282253976496,0.42124100478306653,-0.7497951926594566,-0.5762304447157814,0.2800759217610989,0.2747765113589685,0.45265343671967406,0.0009053068734393481,ROBUST
s72,Reversal Demeaned,0.14439948232323566,0.33988570876887364,0.19548622644563798,-0.022936082446062378,0.05414419895031308,-0.0004187245022581054,0.19879989288886132,-0.854470781931577,-0.7867014342090892,0.40681061016213843,0.36769772752498225,42.91315547378105,0.0858263109475621,WEAK
s94,Index Deletion,0.912342790238094,0.23746976244127688,-0.6748730277968171,0.5638275874141931,-0.010038581877370722,0.3633441890146538,0.738744199686736,-0.7209569007047534,-0.7385474294696398,0.7550247777235674,0.5892424143553106,8.087028518859247,0.016174057037718494,MIRAGE
s100,Distressed,0.05166366233218229,0.18566567367720702,0.13400201134502474,-0.019434027611173077,0.009373250900341246,-0.010877499085138465,0.09718252788666637,-0.6526085535148202,-0.6489198489522867,0.2550633438082291,0.3103063715473895,4.391453144091987,0.008782906288183973,WEAK
s85,Gap Go,-0.151823325079198,0.17628360393066478,0.32810692900986277,-0.10412883813207341,0.009796004984925277,-0.07136473346432881,-0.06503180410165718,-0.9845196319129853,-0.4775042676597562,0.34152453194141863,0.28562752703509614,115.27782888684453,0.23055565777368905,WEAK
s88,NR7,-0.11787145391287526,0.14748232372847567,0.26535377764135093,-0.04968360239457614,0.007404290095948118,-0.03290208100261094,-0.03829303670958275,-0.8457478908056869,-0.5788838097826646,0.22292462275447444,0.22275593316466374,31.569710340014527,0.06313942068002906,WEAK
s81,Jan Reversal PIT,0.3657141805613446,0.14591269500763962,-0.21980148555370496,0.04577000625271066,0.010593486174446554,0.03508821559402131,0.30688432891235407,-0.366744960762779,-0.3388075167865702,0.15512449651308088,0.12925677254238438,0.9659613615455382,0.0019319227230910766,MIRAGE
s95,R2000 Promotion,0.13199339149445793,0.07959928683419813,-0.0523941046602598,0.008533209883195392,-1.832898130560423e-05,0.0059595725076344586,0.11089469196216578,-0.39519722064493523,-0.4477042629430535,0.11282946159940865,0.15783595463565808,1.0045998160073597,0.0020091996320147198,WEAK
s84,FOMC Week,-0.06258039624835116,-0.2652073474480073,-0.20262695119965612,-0.009179907636387097,-0.029414236821019957,-0.015295349869839492,-0.1272004095441887,-0.33149249689452515,-0.33532750798206723,0.08702540471961678,0.0952806216914285,7.882244710211592,0.015764489420423182,WEAK
s86,Range Expansion,-0.08638287591564438,-0.44820305616706524,-0.3618201802514209,-0.0468802201470071,-0.12187981316794738,-0.07003363118612504,-0.19325503047390968,-0.8256501031656955,-0.7623872458394166,0.23537982785984368,0.230178297979441,31.234564031042932,0.06246912806208586,WEAK
s83,DOW Conditional,-0.466289128882117,-0.6770665006130907,-0.21077737173097372,-0.03508590241715337,-0.04673458061004676,-0.038596089570016257,-0.5269077889484973,-0.506052270232432,-0.31537005558840375,0.07124253399232668,0.0673096639901359,22.2557497700092,0.0445114995400184,WEAK
s82,Month-End Flow,-0.8773582796523037,-0.7731105462314797,0.10424773342082405,-0.07285963743225188,-0.05850290050058893,-0.06857487876457324,-0.8474238281301613,-0.7665383136674225,-0.4011287780816801,0.08234528155583565,0.07438340597041307,23.163753449862007,0.046327506899724015,WEAK
s80,IBS Reversion,-1.649552589446247,-1.7988734903974308,-0.14932090095118378,-0.07634753701640806,-0.1130460317463633,-0.08751599734129523,-1.684398555343772,-0.7627613639931488,-0.6103667361849048,0.04744978806167082,0.06546786515618742,4.829806807727691,0.009659613615455384,WEAK
s101,Sector Pairs,-1.5749172181866018,-2.2093058010260958,-0.634388582839494,-0.4365774967107148,-0.3952137975213945,-0.42447210033838545,-1.6906162816663024,-0.9999695102197012,-0.9802979884904426,0.32654970346553386,0.21648516182094663,28.344011039558417,0.05668802207911683,WEAK
s87,Vol Spike,-7.28605131401361,-7.673705203384691,-0.38765388937108103,-0.960486624187065,-0.957435528039352,-0.9595948195422851,-7.393294567437223,-1.0,-0.9999999999777107,0.4275794598840213,0.39816368155968684,20.85045044237408,0.04170090088474816,WEAK
s102,ETF Basket Arb,,,,,,,,,,,,,,MISSING
s97,Div Capture,,,,,,,,,,,,,,MISSING
s98,Ex-Date Drift,,,,,,,,,,,,,,MISSING
s99,Div Initiation,,,,,,,,,,,,,,MISSING
